,round_epochs,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,lr,activation,architecture,batch_size,dropout,epochs,last_activation,optimizer
16,45,0.1309547458489736,0.9489166736602783,0.29900862769285835,0.9103333353996277,1.0000000656873453e-05,relu,"[512, 512]",128,0.25,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
20,45,0.10875386905670166,0.9602083563804626,0.3057733850081762,0.9103333353996277,0.00010000000474974513,relu,[768],128,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
11,47,0.1342542203962803,0.9502708315849304,0.2869368524948756,0.9097499847412109,1.0000000656873453e-05,relu,[512],128,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
22,47,0.11918122591574987,0.953000009059906,0.31232659057776135,0.909500002861023,1.0000000656873453e-05,relu,"[768, 768]",128,0.25,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
26,51,0.12791124077637991,0.9503750205039978,0.3064070365826289,0.909333348274231,1.0000000656873453e-05,relu,"[768, 512]",128,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
24,46,0.10447175991535186,0.9583749771118164,0.32914927331606547,0.909333348274231,1.0000000656873453e-05,relu,"[768, 512]",128,0.2,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
13,46,0.13422004714608193,0.9481250047683716,0.30112035155296324,0.909333348274231,1.0000000656873453e-05,relu,"[512, 256]",128,0.25,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
23,41,0.13180222684144974,0.9482499957084656,0.3061664398908615,0.9090833067893982,0.00010000000474974513,relu,"[768, 768]",128,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
21,34,0.11393699492017428,0.9555624723434448,0.32305770965417224,0.9086666703224182,0.00010000000474974513,relu,"[768, 768]",128,0.2,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
17,47,0.14552576234936715,0.9438124895095825,0.2954350680510203,0.9086666703224182,1.0000000656873453e-05,relu,"[512, 512]",128,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
5,47,0.1403486546178659,0.9485416412353516,0.2870117652416229,0.9085833430290222,1.0000000656873453e-05,relu,[384],128,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
7,47,0.15330914463599524,0.940500020980835,0.298719042857488,0.9083333611488342,1.0000000656873453e-05,relu,"[384, 256, 128]",128,0.25,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
27,36,0.12818858603636424,0.9495833516120911,0.3248921532034874,0.9081666469573975,0.00010000000474974513,relu,"[768, 512, 256]",128,0.2,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
28,43,0.14475796058773993,0.9423333406448364,0.3098654975891113,0.9079166650772095,1.0000000656873453e-05,relu,"[768, 512, 256]",128,0.25,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
15,42,0.12331132591764132,0.9523333311080933,0.30460571420192717,0.9078333377838135,1.0000000656873453e-05,relu,"[512, 512]",128,0.2,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
29,46,0.14092005665103594,0.9448333382606506,0.32608735644817355,0.9077500104904175,0.00010000000474974513,relu,"[768, 512, 256]",128,0.3,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
10,47,0.12465130312244098,0.9548749923706055,0.2923123933076858,0.9076666831970215,1.0000000656873453e-05,relu,[512],128,0.25,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
0,43,0.1427454932530721,0.9452499747276306,0.2947229902346929,0.9075000286102295,1.0000000656873453e-05,relu,"[256, 256]",128,0.2,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
1,46,0.15542365867892902,0.9402083158493042,0.2920950524409612,0.9074166417121887,1.0000000656873453e-05,relu,"[256, 256]",128,0.25,300,softmax,"(<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, {'lr': 0.001})"
